Local Time,Device Name,deveui,Freq[Hz],BW(kHz),channel,coderate,RSSI(dBm),snrSNR(dB),SF,Temperature (F),Humidity (%),dr,fcnt,Jamming
2/8/2023 14:41,Mote04,qGEKNDBFiQo=,903900000,125,0,4/5,-65,11,10,69.78,27.03,0,22090,-1
2/8/2023 14:41,Mote03,qGEKNDQkZg8=,904100000,125,1,4/5,-77,12.5,10,70.12,28.94,0,22744,-1
2/8/2023 14:42,Mote01,qGEKMzVBjAY=,904500000,125,3,4/5,-72,12,10,69.98,27.27,0,22606,-1
2/8/2023 14:42,Mote05,qGEKMzA3fwE=,903900000,125,0,4/5,-60,11.8,10,70.14,27.63,0,8591,-1
2/8/2023 14:43,Mote05,qGEKMzA3fwE=,904900000,125,5,4/5,-58,10.2,10,70.12,27.61,0,8592,-1
2/8/2023 14:44,Mote03,qGEKNDQkZg8=,904500000,125,3,4/5,-75,10.8,10,70.09,28.93,0,22746,-1
2/8/2023 14:44,Mote04,qGEKNDBFiQo=,904700000,125,4,4/5,-64,13,10,69.73,26.99,0,22093,-1
2/8/2023 14:45,Mote03,qGEKNDQkZg8=,904700000,125,4,4/5,-76,10.2,10,70.09,28.83,0,22747,-1
2/8/2023 14:45,Mote01,qGEKMzVBjAY=,904300000,125,2,4/5,-67,7.8,10,69.98,27.14,0,22609,-1
2/8/2023 14:45,Mote04,qGEKNDBFiQo=,905100000,125,6,4/5,-64,12.8,10,69.75,26.94,0,22094,-1
2/8/2023 14:45,Mote05,qGEKMzA3fwE=,904100000,125,1,4/5,-60,11.8,10,70.09,27.53,0,8594,-1
2/8/2023 14:46,Mote02,qGEKNDExiAs=,904500000,125,3,4/5,-60,11.8,10,69.31,29.24,0,20736,-1
2/8/2023 14:46,Mote03,qGEKNDQkZg8=,905100000,125,6,4/5,-78,11.8,10,70.12,28.75,0,22748,-1
2/8/2023 14:46,Mote02,qGEKNDExiAs=,904700000,125,4,4/5,-59,13.5,10,69.33,29.38,0,20737,-1
2/8/2023 14:47,Mote05,qGEKMzA3fwE=,905100000,125,6,4/5,-56,10.8,10,70.16,27.66,0,8595,-1
2/8/2023 14:47,Mote04,qGEKNDBFiQo=,904100000,125,1,4/5,-66,13.2,10,69.76,27.07,0,22096,-1
2/8/2023 14:47,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-39,7.8,10,70.2,27.59,0,8596,-1
2/8/2023 14:48,Mote02,qGEKNDExiAs=,905100000,125,6,4/5,-60,11.8,10,69.35,29.61,0,20738,-1
2/8/2023 14:49,Mote03,qGEKNDQkZg8=,904300000,125,2,4/5,-77,7.5,10,70.21,29.05,0,22751,-1
2/8/2023 14:49,Mote01,qGEKMzVBjAY=,905100000,125,6,4/5,-69,11.2,10,70.07,27.47,0,22613,-1
2/8/2023 14:49,Mote02,qGEKNDExiAs=,904300000,125,2,4/5,-56,9.5,10,69.37,29.61,0,20739,-1
2/8/2023 14:49,Mote04,qGEKNDBFiQo=,904500000,125,3,4/5,-60,9.8,10,69.76,27.21,0,22098,-1
2/8/2023 14:50,Mote02,qGEKNDExiAs=,903900000,125,0,4/5,-59,11.2,10,69.37,29.51,0,20740,-1
2/8/2023 14:50,Mote05,qGEKMzA3fwE=,904700000,125,4,4/5,-59,11.8,10,70.2,27.69,0,8599,-1
2/8/2023 14:50,Mote03,qGEKNDQkZg8=,904700000,125,4,4/5,-78,11.8,10,70.18,29.05,0,22753,-1
2/8/2023 14:51,Mote01,qGEKMzVBjAY=,904700000,125,4,4/5,-71,13,10,70.05,27.27,0,22615,-1
2/8/2023 14:52,Mote02,qGEKNDExiAs=,904100000,125,1,4/5,-58,12,10,69.39,29.56,0,20742,-1
2/8/2023 14:52,Mote03,qGEKNDQkZg8=,904300000,125,2,4/5,-78,8.8,10,70.14,29.01,0,22754,-1
2/8/2023 14:52,Mote04,qGEKNDBFiQo=,904700000,125,4,4/5,-64,12.5,10,69.78,27.14,0,22101,-1
2/8/2023 14:52,Mote05,qGEKMzA3fwE=,904500000,125,3,4/5,-57,10.8,10,70.2,27.65,0,8601,-1
2/8/2023 14:52,Mote03,qGEKNDQkZg8=,904100000,125,1,4/5,-75,10.8,10,70.14,28.99,0,22755,-1
2/8/2023 14:52,Mote01,qGEKMzVBjAY=,903900000,125,0,4/5,-72,13.5,10,70.05,27.21,0,22616,-1
2/8/2023 14:53,Mote01,qGEKMzVBjAY=,904500000,125,3,4/5,-69,11.8,10,70.09,27.12,0,22617,-1
2/8/2023 14:54,Mote02,qGEKNDExiAs=,905100000,125,6,4/5,-61,13.5,10,69.4,29.46,0,20744,-1
2/8/2023 14:54,Mote05,qGEKMzA3fwE=,903900000,125,0,4/5,-61,10.8,10,70.21,27.59,0,8603,-1
2/8/2023 14:54,Mote04,qGEKNDBFiQo=,903900000,125,0,4/5,-64,10.5,10,69.78,27.07,0,22103,-1
2/8/2023 14:55,Mote03,qGEKNDQkZg8=,903900000,125,0,4/5,-77,12.5,10,70.11,28.96,0,22757,-1
2/8/2023 14:55,Mote04,qGEKNDBFiQo=,905100000,125,6,4/5,-63,12,10,69.78,27.1,0,22104,-1
2/8/2023 14:56,Mote02,qGEKNDExiAs=,904100000,125,1,4/5,-60,14,10,69.4,29.49,0,20746,-1
2/8/2023 14:56,Mote04,qGEKNDBFiQo=,904300000,125,2,4/5,-63,8.5,10,69.78,27.12,0,22105,-1
2/8/2023 14:56,Mote03,qGEKNDQkZg8=,905100000,125,6,4/5,-83,9.8,10,70.05,29.02,0,22759,-1
2/8/2023 14:57,Mote05,qGEKMzA3fwE=,904300000,125,2,4/5,-58,8.2,10,70.2,27.59,0,8605,-1
2/8/2023 14:57,Mote04,qGEKNDBFiQo=,904100000,125,1,4/5,-65,12.5,10,69.78,27.09,0,22106,-1
2/8/2023 14:58,Mote01,qGEKMzVBjAY=,904100000,125,1,4/5,-69,9.2,10,70.03,27.19,0,22622,-1
2/8/2023 14:59,Mote02,qGEKNDExiAs=,904900000,125,5,4/5,-59,14.5,10,69.42,29.3,0,20749,-1
2/8/2023 14:59,Mote03,qGEKNDQkZg8=,904500000,125,3,4/5,-80,9.5,10,70.03,28.92,0,22761,-1
2/8/2023 14:59,Mote01,qGEKMzVBjAY=,905100000,125,6,4/5,-69,12,10,70.02,27.21,0,22623,-1
2/8/2023 15:00,Mote05,qGEKMzA3fwE=,905100000,125,6,4/5,-60,11.5,10,70.25,27.49,0,8608,-1
2/8/2023 15:00,Mote02,qGEKNDExiAs=,904500000,125,3,4/5,-60,12.8,10,69.42,29.35,0,20750,-1
2/8/2023 15:00,Mote04,qGEKNDBFiQo=,904300000,125,2,4/5,-62,9.5,10,69.8,27,0,22109,-1
2/8/2023 15:01,Mote01,qGEKMzVBjAY=,904900000,125,5,4/5,-71,12.5,10,70,27.22,0,22624,-1
2/8/2023 15:01,Mote05,qGEKMzA3fwE=,904500000,125,3,4/5,-59,10.5,10,70.27,27.49,0,8609,-1
2/8/2023 15:01,Mote01,qGEKMzVBjAY=,904500000,125,3,4/5,-70,11.8,10,70,27.23,0,22625,-1
2/8/2023 15:02,Mote03,qGEKNDQkZg8=,905100000,125,6,4/5,-83,9.5,10,70.11,28.91,0,22764,-1
2/8/2023 15:02,Mote02,qGEKNDExiAs=,904300000,125,2,4/5,-60,8.5,10,69.42,29.34,0,20752,-1
2/8/2023 15:02,Mote01,qGEKMzVBjAY=,904700000,125,4,4/5,-70,11.8,10,70,27.23,0,22626,-1
