time,fCnt,spreading_factor,rssi,snr,crc_status,latitude,longitude,temperature,device_address,anomaly,time_difference,frame_counter_diff,rssi_mean5,snr_mean5,crc_error,cluster,rule_timedif_cluster,time_diff_device,rule_time,time_thresh_device,sf_shift,rule_crc,rule_rssi,rule_snr,rule_fcnt,rule_orphan,rule_sf_change,rule_flag
2025-01-29 16:06:52.242248+00:00,40771,7,-98,8.0,1,47.170039,11.381796,24.9,0117a520,0,521.033248,0.0,-98.0,8.0,False,0,False,0.0,False,0.0,,False,False,False,False,True,True,True
2025-01-29 16:05:29.160580+00:00,90916,7,-86,8.0,1,47.1599859154499,11.37164354324341,,013ea53d,0,-83.081668,0.0,-86.0,8.0,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 16:06:17.299359+00:00,90993,7,-90,-2.0,1,47.1599859154499,11.37164354324341,,01c0ca4f,0,48.138779,0.0,-90.0,-2.0,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 16:04:17.836828813+00:00,2244,9,-107,4.8,1,47.268135067628634,11.393401616723096,,0072cada,0,-119.462530187,0.0,-107.0,4.8,False,0,False,0.0,False,0.0,,False,False,False,False,True,True,True
2025-01-29 16:06:40.103687+00:00,74,12,-115,-7.0,1,47.27646,11.4535,,00679b59,0,142.266858187,0.0,-115.0,-7.0,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 16:06:40.103687+00:00,74,12,-113,-21.0,1,47.27926,11.4171,,00679b59,0,0.0,0.0,-109.25,-14.3125,False,0,False,0.0,False,0.0,12.0,False,False,True,False,False,False,True
2025-01-29 16:06:40.103687+00:00,74,12,-113,-23.0,1,47.26949,11.35559,,00679b59,0,0.0,0.0,-110.0,-16.05,False,0,False,0.0,False,0.0,12.0,False,False,True,False,False,False,True
2025-01-29 16:06:40.103687+00:00,74,12,-119,-21.2,1,47.23069,11.41645,,00679b59,0,0.0,0.0,-111.8,-17.64,False,0,False,0.0,False,0.0,12.0,False,False,True,False,False,False,True
2025-01-29 16:06:40.103687+00:00,74,12,-114,-22.0,1,47.27926,11.4171,,00679b59,0,0.0,0.0,-113.4,-14.4,False,0,False,0.0,False,0.0,12.0,False,False,True,False,False,False,True
2025-01-29 16:06:40.103687+00:00,74,12,-114,-23.0,1,47.23069,11.41645,,00679b59,0,0.0,0.0,-112.0,-16.64,False,0,False,0.0,False,0.0,12.0,False,False,True,False,False,False,True
2025-01-29 15:59:07.042000+00:00,21,12,-118,-16.5,1,47.23873,11.44857,,006b69b9,0,-453.061687,0.0,-118.0,-16.5,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 15:59:07.042000+00:00,21,12,-114,-23.0,1,47.27233,11.44622,,006b69b9,0,0.0,0.0,-116.0,-19.75,False,0,False,0.0,False,0.0,12.0,False,False,True,False,False,False,True
2025-01-29 15:59:07.042000+00:00,21,12,-115,-22.0,1,47.25001,11.36924,,006b69b9,0,0.0,0.0,-104.8,-19.4,False,0,False,0.0,False,0.0,12.0,False,False,True,False,False,False,True
2025-01-29 16:03:29.846000+00:00,954,9,-115,-5.0,1,47.28613,11.39893,,0111161e,0,262.804,0.0,-115.0,-5.0,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 16:01:33.995000+00:00,429,7,-101,11.0,1,47.27289,11.38602,,00b505d7,0,-115.851,0.0,-101.0,11.0,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 16:05:11.385805+00:00,7555,9,-65,12.0,1,47.15068383570328,11.346291303634645,,014878d1,0,217.390805,0.0,-65.0,12.0,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 16:07:14.177512+00:00,55873,7,-95,1.0,1,47.1599859154499,11.37164354324341,,0179a92a,0,122.791707,0.0,-95.0,1.0,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 15:59:31.091173+00:00,2921,8,-98,-10.0,1,47.1599859154499,11.37164354324341,,014d7210,0,-463.086339,0.0,-98.0,-10.0,False,0,False,0.0,False,0.0,,False,False,False,False,True,True,True
2025-01-29 15:59:11.286084+00:00,51129,9,-95,,1,47.1599859154499,11.37164354324341,23.0,00c94d28,0,-19.805089,0.0,-95.0,,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 15:57:52.590889882+00:00,1445,9,-115,-11.0,1,47.22107,11.40813,,0012b170,0,-78.695194118,0.0,-115.0,-11.0,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 15:59:10.605844+00:00,1157,9,-98,-8.0,1,47.1599859154499,11.37164354324341,,0052646a,0,78.014954118,0.0,-98.0,-8.0,False,0,False,0.0,False,0.0,,False,False,False,False,True,True,True
2025-01-29 16:06:31.234620+00:00,271,9,-92,6.0,1,47.1599859154499,11.37164354324341,,00727e76,0,440.628776,0.0,-92.0,6.0,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 15:59:47.434000+00:00,121,10,-111,-12.0,1,47.26976,11.39545,,006f13b2,0,-403.80062,0.0,-111.0,-12.0,False,0,False,0.0,False,0.0,,False,False,False,False,False,True,True
2025-01-29 15:59:46.034378+00:00,1068,11,-68,-17.0,1,47.20887,11.46159,,00e9cde0,0,-1.399622,0.0,-68.0,-17.0,False,0,False,0.0,False,10.292936254000006,,False,False,False,False,False,True,True
2025-01-29 15:59:46.034378+00:00,1068,11,-95,-21.0,1,47.31209,11.38366,,00e9cde0,0,0.0,0.0,-81.5,-19.0,False,0,False,0.0,False,10.292936254000006,11.0,False,False,True,False,False,False,True
2025-01-29 15:59:46.034378+00:00,1068,11,-112,-21.0,1,47.27715,11.42716,,00e9cde0,0,0.0,0.0,-105.0,-10.5,False,0,False,0.0,False,10.292936254000006,11.0,False,False,True,False,False,False,True
2025-01-29 15:59:46.034378+00:00,1068,11,-115,-21.0,1,47.23873,11.44857,,00e9cde0,0,0.0,0.0,-111.6,-15.4,False,0,False,0.0,False,10.292936254000006,11.0,False,False,True,False,False,False,True
2025-01-29 16:00:05.968000+00:00,1070,11,-107,-21.0,1,47.27036,11.42637,,00e9cde0,0,0.0,0.0,-101.4,-13.8,False,0,False,0.0,False,10.292936254000006,11.0,False,False,True,False,False,False,True
2025-01-29 15:59:51.914000+00:00,493,12,-115,-15.0,1,47.26267,11.39665,,01878075,0,-14.054,0.0,-115.0,-15.0,False,0,False,0.0,False,9.818172000000015,,False,False,False,False,False,True,True
2025-01-29 15:59:51.914000+00:00,493,12,-115,-21.0,1,47.28201,11.42095,,01878075,0,0.0,0.0,-114.6,-15.6,False,0,False,0.0,False,9.818172000000015,12.0,False,False,True,False,False,False,True
2025-01-29 15:59:51.914000+00:00,493,12,-96,-24.0,1,47.31209,11.38366,,01878075,0,0.0,0.0,-107.4,-15.6,False,0,False,0.0,False,9.818172000000015,12.0,False,False,True,False,False,False,True
2025-01-29 16:00:02.015000+00:00,494,12,-99,-24.0,1,47.31209,11.38366,,01878075,0,0.0,0.0,-99.0,-18.2,False,0,False,0.0,False,9.818172000000015,12.0,False,False,True,False,False,False,True
